instance,time[ns]
randomQuboDWaveClique_L=60_dense_2.txt,5357044
randomQuboDWaveClique_L=60_dense_3.txt,5585489
randomQuboDWaveClique_L=60_dense_4.txt,5779209
randomQuboDWaveClique_L=60_dense_5.txt,5622530
randomQuboDWaveClique_L=60_dense_6.txt,6370478
randomQuboDWaveClique_L=60_dense_7.txt,6082467
randomQuboDWaveClique_L=60_dense_8.txt,5927056
randomQuboDWaveClique_L=60_dense_9.txt,5974981
randomQuboDWaveClique_L=60_dense_10.txt,5624839
randomQuboDWaveClique_L=60_dense_11.txt,5533937
randomQuboDWaveClique_L=60_dense_12.txt,5412782
randomQuboDWaveClique_L=60_dense_13.txt,5830893
randomQuboDWaveClique_L=60_dense_14.txt,5381488
randomQuboDWaveClique_L=60_dense_15.txt,6010828
randomQuboDWaveClique_L=60_dense_16.txt,8963783
randomQuboDWaveClique_L=60_dense_17.txt,5972087
randomQuboDWaveClique_L=60_dense_18.txt,6010462
randomQuboDWaveClique_L=60_dense_19.txt,5293922
randomQuboDWaveClique_L=60_dense_20.txt,5895527
randomQuboDWaveClique_L=80_dense_1.txt,15344712
randomQuboDWaveClique_L=80_dense_2.txt,8900057
randomQuboDWaveClique_L=80_dense_3.txt,10524574
randomQuboDWaveClique_L=80_dense_4.txt,8812989
randomQuboDWaveClique_L=80_dense_5.txt,13759079
randomQuboDWaveClique_L=80_dense_6.txt,9267589
randomQuboDWaveClique_L=80_dense_7.txt,9740872
randomQuboDWaveClique_L=80_dense_8.txt,15919527
randomQuboDWaveClique_L=80_dense_9.txt,9244558
randomQuboDWaveClique_L=80_dense_10.txt,9341190
randomQuboDWaveClique_L=80_dense_11.txt,9280032
randomQuboDWaveClique_L=80_dense_12.txt,9836852
randomQuboDWaveClique_L=80_dense_13.txt,10379471
randomQuboDWaveClique_L=80_dense_14.txt,10834713
randomQuboDWaveClique_L=80_dense_15.txt,9462354
randomQuboDWaveClique_L=80_dense_16.txt,10749156
randomQuboDWaveClique_L=80_dense_17.txt,8702106
randomQuboDWaveClique_L=80_dense_18.txt,9359893
randomQuboDWaveClique_L=80_dense_19.txt,9615235
randomQuboDWaveClique_L=80_dense_20.txt,9703825
randomQuboDWaveClique_L=100_dense_1.txt,14372701
randomQuboDWaveClique_L=100_dense_2.txt,14661974
randomQuboDWaveClique_L=100_dense_3.txt,13141454
randomQuboDWaveClique_L=100_dense_4.txt,15093479
randomQuboDWaveClique_L=100_dense_5.txt,14087376
randomQuboDWaveClique_L=100_dense_6.txt,13719901
randomQuboDWaveClique_L=100_dense_7.txt,13398019
randomQuboDWaveClique_L=100_dense_8.txt,14344650
randomQuboDWaveClique_L=100_dense_9.txt,14342995
randomQuboDWaveClique_L=100_dense_10.txt,14265939
randomQuboDWaveClique_L=100_dense_11.txt,13540237
randomQuboDWaveClique_L=100_dense_12.txt,13525038
randomQuboDWaveClique_L=100_dense_13.txt,14161931
randomQuboDWaveClique_L=100_dense_14.txt,14093855
randomQuboDWaveClique_L=100_dense_15.txt,15068779
randomQuboDWaveClique_L=100_dense_16.txt,13961228
randomQuboDWaveClique_L=100_dense_17.txt,14814484
randomQuboDWaveClique_L=100_dense_18.txt,14627524
randomQuboDWaveClique_L=100_dense_19.txt,14062610
randomQuboDWaveClique_L=100_dense_20.txt,14629306
randomQuboDWaveClique_L=120_dense_1.txt,19338917
randomQuboDWaveClique_L=120_dense_2.txt,20880199
randomQuboDWaveClique_L=120_dense_3.txt,21348984
randomQuboDWaveClique_L=120_dense_4.txt,28843731
randomQuboDWaveClique_L=120_dense_5.txt,21936240
randomQuboDWaveClique_L=120_dense_6.txt,20841764
randomQuboDWaveClique_L=120_dense_7.txt,21515369
randomQuboDWaveClique_L=120_dense_8.txt,27722241
randomQuboDWaveClique_L=120_dense_9.txt,21811428
randomQuboDWaveClique_L=120_dense_10.txt,21021147
randomQuboDWaveClique_L=120_dense_11.txt,21510136
randomQuboDWaveClique_L=120_dense_12.txt,21059831
randomQuboDWaveClique_L=120_dense_13.txt,21931790
randomQuboDWaveClique_L=120_dense_14.txt,23767299
randomQuboDWaveClique_L=120_dense_15.txt,19313773
randomQuboDWaveClique_L=120_dense_16.txt,19506821
randomQuboDWaveClique_L=120_dense_17.txt,19668353
randomQuboDWaveClique_L=120_dense_18.txt,19058737
randomQuboDWaveClique_L=120_dense_19.txt,18583997
randomQuboDWaveClique_L=120_dense_20.txt,21863174
randomQuboDWaveClique_L=140_dense_1.txt,26240779
randomQuboDWaveClique_L=140_dense_2.txt,26378764
randomQuboDWaveClique_L=140_dense_3.txt,28034279
randomQuboDWaveClique_L=140_dense_4.txt,26928202
randomQuboDWaveClique_L=140_dense_5.txt,25997475
randomQuboDWaveClique_L=140_dense_6.txt,34784445
randomQuboDWaveClique_L=140_dense_7.txt,25607245
randomQuboDWaveClique_L=140_dense_8.txt,39440766
randomQuboDWaveClique_L=140_dense_9.txt,25223168
randomQuboDWaveClique_L=140_dense_10.txt,25569175
randomQuboDWaveClique_L=140_dense_11.txt,26043538
randomQuboDWaveClique_L=140_dense_12.txt,26395695
randomQuboDWaveClique_L=140_dense_13.txt,24992044
randomQuboDWaveClique_L=140_dense_14.txt,24761191
randomQuboDWaveClique_L=140_dense_15.txt,25674083
randomQuboDWaveClique_L=140_dense_16.txt,28482906
randomQuboDWaveClique_L=140_dense_17.txt,29516865
randomQuboDWaveClique_L=140_dense_18.txt,25576869
randomQuboDWaveClique_L=140_dense_19.txt,25239674
randomQuboDWaveClique_L=140_dense_20.txt,24871787
randomQuboDWaveClique_L=160_dense_1.txt,33620615
randomQuboDWaveClique_L=160_dense_2.txt,44790224
randomQuboDWaveClique_L=160_dense_3.txt,32089954
randomQuboDWaveClique_L=160_dense_4.txt,32208358
randomQuboDWaveClique_L=160_dense_5.txt,32590994
randomQuboDWaveClique_L=160_dense_6.txt,31813742
randomQuboDWaveClique_L=160_dense_7.txt,30579543
randomQuboDWaveClique_L=160_dense_8.txt,30355721
randomQuboDWaveClique_L=160_dense_9.txt,32932010
randomQuboDWaveClique_L=160_dense_10.txt,31098177
randomQuboDWaveClique_L=160_dense_11.txt,30208207
randomQuboDWaveClique_L=160_dense_12.txt,32030260
randomQuboDWaveClique_L=160_dense_13.txt,30860787
randomQuboDWaveClique_L=160_dense_14.txt,33432814
randomQuboDWaveClique_L=160_dense_15.txt,31572140
randomQuboDWaveClique_L=160_dense_16.txt,30568459
randomQuboDWaveClique_L=160_dense_17.txt,30197384
randomQuboDWaveClique_L=160_dense_18.txt,30123164
randomQuboDWaveClique_L=160_dense_19.txt,33064748
randomQuboDWaveClique_L=160_dense_20.txt,35826543
