instance,num_var,ground_energy
tile_planting_2D_L_90_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,8100,-14612
tile_planting_2D_L_90_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,8100,-14630
tile_planting_2D_L_90_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,8100,-14564
tile_planting_2D_L_90_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,8100,-14576
tile_planting_2D_L_90_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,8100,-14664
tile_planting_2D_L_90_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,8100,-14642
tile_planting_2D_L_90_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,8100,-14584
tile_planting_2D_L_100_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,10000,-12064
tile_planting_2D_L_100_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,10000,-12048
tile_planting_2D_L_100_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,10000,-12000
tile_planting_2D_L_100_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,10000,-11966
tile_planting_2D_L_100_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,10000,-11982
tile_planting_2D_L_100_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,10000,-11910
tile_planting_2D_L_100_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,10000,-11980
tile_planting_2D_L_100_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,10000,-11944
tile_planting_2D_L_100_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,10000,-12036
tile_planting_2D_L_100_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,10000,-11962
tile_planting_2D_L_100_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,10000,-18072
tile_planting_2D_L_100_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,10000,-17912
tile_planting_2D_L_100_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,10000,-17906
tile_planting_2D_L_100_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,10000,-18096
tile_planting_2D_L_100_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,10000,-18048
tile_planting_2D_L_100_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,10000,-18008
tile_planting_2D_L_100_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,10000,-17990
tile_planting_2D_L_100_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,10000,-18074
tile_planting_2D_L_100_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,10000,-17988
tile_planting_2D_L_100_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,10000,-18134
tile_planting_2D_L_150_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,22500,-26888
tile_planting_2D_L_150_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,22500,-27252
tile_planting_2D_L_150_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,22500,-26862
tile_planting_2D_L_150_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,22500,-26994
tile_planting_2D_L_150_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,22500,-27076
tile_planting_2D_L_150_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,22500,-27112
tile_planting_2D_L_150_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,22500,-27092
tile_planting_2D_L_150_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,22500,-26902
tile_planting_2D_L_150_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,22500,-26958
tile_planting_2D_L_150_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,22500,-26848
tile_planting_2D_L_150_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,22500,-40722
tile_planting_2D_L_150_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,22500,-40328
tile_planting_2D_L_150_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,22500,-40466
tile_planting_2D_L_150_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,22500,-40538
tile_planting_2D_L_150_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,22500,-40466
tile_planting_2D_L_150_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,22500,-40432
tile_planting_2D_L_150_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,22500,-40508
tile_planting_2D_L_150_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,22500,-40550
tile_planting_2D_L_150_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,22500,-40602
tile_planting_2D_L_150_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,22500,-40646
tile_planting_2D_L_200_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,40000,-47904
tile_planting_2D_L_200_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,40000,-48068
tile_planting_2D_L_200_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,40000,-48112
tile_planting_2D_L_200_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,40000,-48162
tile_planting_2D_L_200_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,40000,-48240
tile_planting_2D_L_200_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,40000,-47890
tile_planting_2D_L_200_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,40000,-47982
tile_planting_2D_L_200_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,40000,-47902
tile_planting_2D_L_200_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,40000,-48014
tile_planting_2D_L_200_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,40000,-48080
tile_planting_2D_L_200_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,40000,-72136
tile_planting_2D_L_200_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,40000,-72134
tile_planting_2D_L_200_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,40000,-71838
tile_planting_2D_L_200_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,40000,-71890
tile_planting_2D_L_200_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,40000,-71952
tile_planting_2D_L_200_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,40000,-72010
tile_planting_2D_L_200_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,40000,-71954
tile_planting_2D_L_200_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,40000,-72118
tile_planting_2D_L_200_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,40000,-71790
tile_planting_2D_L_200_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,40000,-72072
tile_planting_2D_L_250_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,62500,-74720
tile_planting_2D_L_250_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,62500,-75198
tile_planting_2D_L_250_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,62500,-75042
tile_planting_2D_L_250_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,62500,-75120
tile_planting_2D_L_250_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,62500,-75002
tile_planting_2D_L_250_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,62500,-74748
tile_planting_2D_L_250_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,62500,-74996
tile_planting_2D_L_250_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,62500,-74900
tile_planting_2D_L_250_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,62500,-75058
tile_planting_2D_L_250_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,62500,-75078
tile_planting_2D_L_250_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,62500,-112412
tile_planting_2D_L_250_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,62500,-112566
tile_planting_2D_L_250_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,62500,-112464
tile_planting_2D_L_250_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,62500,-112238
tile_planting_2D_L_250_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,62500,-112590
tile_planting_2D_L_250_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,62500,-112768
tile_planting_2D_L_250_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,62500,-112622
tile_planting_2D_L_250_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,62500,-112416
tile_planting_2D_L_250_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,62500,-112418
tile_planting_2D_L_250_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,62500,-112386
tile_planting_2D_L_300_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,90000,-108254
tile_planting_2D_L_300_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,90000,-108224
tile_planting_2D_L_300_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,90000,-108098
tile_planting_2D_L_300_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,90000,-107944
tile_planting_2D_L_300_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,90000,-107696
tile_planting_2D_L_300_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,90000,-108164
tile_planting_2D_L_300_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,90000,-108114
tile_planting_2D_L_300_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,90000,-107958
tile_planting_2D_L_300_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,90000,-108104
tile_planting_2D_L_300_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,90000,-108168
tile_planting_2D_L_300_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,90000,-162082
tile_planting_2D_L_300_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,90000,-161978
tile_planting_2D_L_300_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,90000,-162046
tile_planting_2D_L_300_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,90000,-161666
tile_planting_2D_L_300_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,90000,-162078
tile_planting_2D_L_300_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,90000,-162046
tile_planting_2D_L_300_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,90000,-161862
tile_planting_2D_L_300_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,90000,-161838
tile_planting_2D_L_300_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,90000,-161834
tile_planting_2D_L_300_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,90000,-162300
